enzyCUI,drugNAME,drugCUI
C0052452,Isoniazid,C0801927
C0207509,Alosetron,C0291772
C1620185,Alosetron,C0291772
C0608437,Alosetron,C0291772
C1142644,Alosetron,C0291772
C3714798,Alosetron,C0291772
C0010763,Alosetron,C0291772
C3887686,Alosetron,C0291772
C0207509,Azelastine,C0052762
C1620185,Azelastine,C0052762
C0057223,Azelastine,C0052762
C3887685,Azelastine,C0052762
C0608437,Azelastine,C0052762
C1142644,Azelastine,C0052762
C3714798,Azelastine,C0052762
C0010763,Azelastine,C0052762
C3887686,Azelastine,C0052762
C0960580,Azelastine,C0052762
C0535996,Azelastine,C0052762
C3714750,Azelastine,C0052762
C0059735,Azelastine,C0052762
C3252639,Azelastine,C0052762
C0897385,Azelastine,C0052762
C3884187,Azelastine,C0052762
C0534137,Azelastine,C0052762
C1828468,Azelastine,C0052762
C0207509,Ethinylestradiol,C0015011
C1620185,Ethinylestradiol,C0015011
C0608437,Ethinylestradiol,C0015011
C1142644,Ethinylestradiol,C0015011
C3714798,Ethinylestradiol,C0015011
C0960580,Ethinylestradiol,C0015011
C0535996,Ethinylestradiol,C0015011
C3714750,Ethinylestradiol,C0015011
C0897385,Ethinylestradiol,C0015011
C0007407,Ethinylestradiol,C0015011
C0207509,Lomefloxacin,C0065162
C0207509,Lomefloxacin,C0801932
C1620185,Lomefloxacin,C0065162
C1620185,Lomefloxacin,C0801932
C0207509,Ramelteon,C1565316
C1620185,Ramelteon,C1565316
C0608437,Ramelteon,C1565316
C1142644,Ramelteon,C1565316
C3714798,Ramelteon,C1565316
C0960580,Ramelteon,C1565316
C0207509,Glycopyrronium,C0017970
C0207509,Glycopyrronium,C3814772
C1620185,Glycopyrronium,C0017970
C1620185,Glycopyrronium,C3814772
C0057223,Glycopyrronium,C0017970
C0057223,Glycopyrronium,C3814772
C3887685,Glycopyrronium,C0017970
C3887685,Glycopyrronium,C3814772
C0608437,Glycopyrronium,C0017970
C0608437,Glycopyrronium,C3814772
C1142644,Glycopyrronium,C0017970
C1142644,Glycopyrronium,C3814772
C3714798,Glycopyrronium,C0017970
C3714798,Glycopyrronium,C3814772
C0960580,Glycopyrronium,C0017970
C0960580,Glycopyrronium,C3814772
C0534137,Glycopyrronium,C0017970
C0534137,Glycopyrronium,C3814772
C1828468,Glycopyrronium,C0017970
C1828468,Glycopyrronium,C3814772
C0218171,Glycopyrronium,C0017970
C0218171,Glycopyrronium,C3814772
C0207509,Azathioprine,C0004482
C1620185,Azathioprine,C0004482
C0020687,Azathioprine,C0004482
C4067732,Azathioprine,C0004482
C0207509,Frovatriptan,C0754647
C1620185,Frovatriptan,C0754647
C0207509,Levobupivacaine,C0873118
C1620185,Levobupivacaine,C0873118
C1142644,Levobupivacaine,C0873118
C3714798,Levobupivacaine,C0873118
C0207509,Cinacalcet,C1337242
C1620185,Cinacalcet,C1337242
C0057223,Cinacalcet,C1337242
C3887685,Cinacalcet,C1337242
C1142644,Cinacalcet,C1337242
C3714798,Cinacalcet,C1337242
C0207509,Ketoconazole,C0022625
C1620185,Ketoconazole,C0022625
C0057223,Ketoconazole,C0022625
C3887685,Ketoconazole,C0022625
C0608437,Ketoconazole,C0022625
C1142644,Ketoconazole,C0022625
C3714798,Ketoconazole,C0022625
C0960580,Ketoconazole,C0022625
C0026237,Ketoconazole,C0022625
C0887941,Ketoconazole,C0022625
C0535996,Ketoconazole,C0022625
C3714750,Ketoconazole,C0022625
C1450093,Ketoconazole,C0022625
C0059735,Ketoconazole,C0022625
C3252639,Ketoconazole,C0022625
C0897385,Ketoconazole,C0022625
C3884187,Ketoconazole,C0022625
C0534137,Ketoconazole,C0022625
C1828468,Ketoconazole,C0022625
C3254086,Ketoconazole,C0022625
C0038296,Ketoconazole,C0022625
C0207509,Methoxyflurane,C0025688
C1620185,Methoxyflurane,C0025688
C0057223,Methoxyflurane,C0025688
C3887685,Methoxyflurane,C0025688
C0608437,Methoxyflurane,C0025688
C1142644,Methoxyflurane,C0025688
C3714798,Methoxyflurane,C0025688
C0010763,Methoxyflurane,C0025688
C3887686,Methoxyflurane,C0025688
C3884187,Methoxyflurane,C0025688
C0534137,Methoxyflurane,C0025688
C1828468,Methoxyflurane,C0025688
C0207509,Selegiline,C0036579
C1620185,Selegiline,C0036579
C0057223,Selegiline,C0036579
C3887685,Selegiline,C0036579
C0608437,Selegiline,C0036579
C1142644,Selegiline,C0036579
C3714798,Selegiline,C0036579
C0960580,Selegiline,C0036579
C0897385,Selegiline,C0036579
C3884187,Selegiline,C0036579
C0534137,Selegiline,C0036579
C1828468,Selegiline,C0036579
C0207509,Gatifloxacin,C0753645
C0207509,Gatifloxacin,C1114970
C1620185,Gatifloxacin,C0753645
C1620185,Gatifloxacin,C1114970
C0207509,Rifampicin,C0035608
C0207509,Rifampicin,C0801967
C1620185,Rifampicin,C0035608
C1620185,Rifampicin,C0801967
C0608437,Rifampicin,C0035608
C0608437,Rifampicin,C0801967
C1142644,Rifampicin,C0035608
C1142644,Rifampicin,C0801967
C3714798,Rifampicin,C0035608
C3714798,Rifampicin,C0801967
C0010763,Rifampicin,C0035608
C0010763,Rifampicin,C0801967
C3887686,Rifampicin,C0035608
C3887686,Rifampicin,C0801967
C0960580,Rifampicin,C0035608
C0960580,Rifampicin,C0801967
C0535996,Rifampicin,C0035608
C0535996,Rifampicin,C0801967
C3714750,Rifampicin,C0035608
C3714750,Rifampicin,C0801967
C0897385,Rifampicin,C0035608
C0897385,Rifampicin,C0801967
C3884187,Rifampicin,C0035608
C3884187,Rifampicin,C0801967
C0534137,Rifampicin,C0035608
C0534137,Rifampicin,C0801967
C1828468,Rifampicin,C0035608
C1828468,Rifampicin,C0801967
C0533212,Rifampicin,C0035608
C0533212,Rifampicin,C0801967
C0207509,Tocainide,C0085237
C1620185,Tocainide,C0085237
C0207509,Praziquantel,C0032911
C1620185,Praziquantel,C0032911
C1142644,Praziquantel,C0032911
C3714798,Praziquantel,C0032911
C0960580,Praziquantel,C0032911
C0535996,Praziquantel,C0032911
C3714750,Praziquantel,C0032911
C0533212,Praziquantel,C0032911
C0207509,Norfloxacin,C0028365
C1620185,Norfloxacin,C0028365
C1142644,Norfloxacin,C0028365
C3714798,Norfloxacin,C0028365
C0059735,Norfloxacin,C0028365
C3252639,Norfloxacin,C0028365
C0533212,Norfloxacin,C0028365
C0207509,Atazanavir,C1145759
C0207509,Atazanavir,C1623567
C0207509,Atazanavir,C1642548
C1620185,Atazanavir,C1145759
C1620185,Atazanavir,C1623567
C1620185,Atazanavir,C1642548
C0608437,Atazanavir,C1145759
C0608437,Atazanavir,C1623567
C0608437,Atazanavir,C1642548
C1142644,Atazanavir,C1145759
C1142644,Atazanavir,C1623567
C1142644,Atazanavir,C1642548
C3714798,Atazanavir,C1145759
C3714798,Atazanavir,C1623567
C3714798,Atazanavir,C1642548
C0535996,Atazanavir,C1145759
C0535996,Atazanavir,C1623567
C0535996,Atazanavir,C1642548
C3714750,Atazanavir,C1145759
C3714750,Atazanavir,C1623567
C3714750,Atazanavir,C1642548
C0897385,Atazanavir,C1145759
C0897385,Atazanavir,C1623567
C0897385,Atazanavir,C1642548
C0533212,Atazanavir,C1145759
C0533212,Atazanavir,C1623567
C0533212,Atazanavir,C1642548
C0207509,Tegaserod,C0537147
C1620185,Tegaserod,C0537147
C0057223,Tegaserod,C0537147
C3887685,Tegaserod,C0537147
C0010763,Tegaserod,C0537147
C3887686,Tegaserod,C0537147
C0897385,Tegaserod,C0537147
C0207509,Benzocaine,C0005059
C1620185,Benzocaine,C0005059
C0057223,Benzocaine,C0005059
C3887685,Benzocaine,C0005059
C0010763,Benzocaine,C0005059
C3887686,Benzocaine,C0005059
C0960580,Benzocaine,C0005059
C0534137,Benzocaine,C0005059
C1828468,Benzocaine,C0005059
C0207509,Primaquine,C0033126
C1620185,Primaquine,C0033126
C0057223,Primaquine,C0033126
C3887685,Primaquine,C0033126
C1142644,Primaquine,C0033126
C3714798,Primaquine,C0033126
C1450093,Primaquine,C0033126
C0059735,Primaquine,C0033126
C3252639,Primaquine,C0033126
C0207509,Hesperetin,C0062585
C1620185,Hesperetin,C0062585
C0207509,Leflunomide,C0063041
C0207509,Leflunomide,C5401414
C1620185,Leflunomide,C0063041
C1620185,Leflunomide,C5401414
C0608437,Leflunomide,C0063041
C0608437,Leflunomide,C5401414
C0207509,Pimozide,C0031935
C1620185,Pimozide,C0031935
C0057223,Pimozide,C0031935
C3887685,Pimozide,C0031935
C1142644,Pimozide,C0031935
C3714798,Pimozide,C0031935
C0535996,Pimozide,C0031935
C3714750,Pimozide,C0031935
C0533212,Pimozide,C0031935
C0207509,Nifedipine,C0028066
C1620185,Nifedipine,C0028066
C0057223,Nifedipine,C0028066
C3887685,Nifedipine,C0028066
C0608437,Nifedipine,C0028066
C1142644,Nifedipine,C0028066
C3714798,Nifedipine,C0028066
C0010763,Nifedipine,C0028066
C3887686,Nifedipine,C0028066
C0535996,Nifedipine,C0028066
C3714750,Nifedipine,C0028066
C0059735,Nifedipine,C0028066
C3252639,Nifedipine,C0028066
C0897385,Nifedipine,C0028066
C3884187,Nifedipine,C0028066
C0534137,Nifedipine,C0028066
C1828468,Nifedipine,C0028066
C0207509,Amiodarone,C0002598
C0207509,Amiodarone,C5399868
C1620185,Amiodarone,C0002598
C1620185,Amiodarone,C5399868
C0057223,Amiodarone,C0002598
C0057223,Amiodarone,C5399868
C3887685,Amiodarone,C0002598
C3887685,Amiodarone,C5399868
C0608437,Amiodarone,C0002598
C0608437,Amiodarone,C5399868
C1142644,Amiodarone,C0002598
C1142644,Amiodarone,C5399868
C3714798,Amiodarone,C0002598
C3714798,Amiodarone,C5399868
C0960580,Amiodarone,C0002598
C0960580,Amiodarone,C5399868
C0059735,Amiodarone,C0002598
C0059735,Amiodarone,C5399868
C3252639,Amiodarone,C0002598
C3252639,Amiodarone,C5399868
C0897385,Amiodarone,C0002598
C0897385,Amiodarone,C5399868
C3884187,Amiodarone,C0002598
C3884187,Amiodarone,C5399868
C0207509,Rabeprazole,C0378482
C1620185,Rabeprazole,C0378482
C0057223,Rabeprazole,C0378482
C3887685,Rabeprazole,C0378482
C0608437,Rabeprazole,C0378482
C1142644,Rabeprazole,C0378482
C3714798,Rabeprazole,C0378482
C0960580,Rabeprazole,C0378482
C0059735,Rabeprazole,C0378482
C3252639,Rabeprazole,C0378482
C0897385,Rabeprazole,C0378482
C0207509,Carvedilol,C0054836
C1620185,Carvedilol,C0054836
C0057223,Carvedilol,C0054836
C3887685,Carvedilol,C0054836
C0608437,Carvedilol,C0054836
C1142644,Carvedilol,C0054836
C3714798,Carvedilol,C0054836
C0010763,Carvedilol,C0054836
C3887686,Carvedilol,C0054836
C0059735,Carvedilol,C0054836
C3252639,Carvedilol,C0054836
C0207509,Doxepin,C0013085
C0207509,Doxepin,C0365808
C1620185,Doxepin,C0013085
C1620185,Doxepin,C0365808
C0057223,Doxepin,C0013085
C0057223,Doxepin,C0365808
C3887685,Doxepin,C0013085
C3887685,Doxepin,C0365808
C0608437,Doxepin,C0013085
C0608437,Doxepin,C0365808
C1142644,Doxepin,C0013085
C1142644,Doxepin,C0365808
C3714798,Doxepin,C0013085
C3714798,Doxepin,C0365808
C0960580,Doxepin,C0013085
C0960580,Doxepin,C0365808
C0207509,Desipramine,C0011685
C1620185,Desipramine,C0011685
C0057223,Desipramine,C0011685
C3887685,Desipramine,C0011685
C1142644,Desipramine,C0011685
C3714798,Desipramine,C0011685
C0010763,Desipramine,C0011685
C3887686,Desipramine,C0011685
C0534137,Desipramine,C0011685
C1828468,Desipramine,C0011685
C0207509,Gemifloxacin,C0533545
C0207509,Gemifloxacin,C1507408
C1620185,Gemifloxacin,C0533545
C1620185,Gemifloxacin,C1507408
C0207509,Ofloxacin,C0028902
C1620185,Ofloxacin,C0028902
C0207509,Cilostazol,C0055729
C1620185,Cilostazol,C0055729
C0057223,Cilostazol,C0055729
C3887685,Cilostazol,C0055729
C1142644,Cilostazol,C0055729
C3714798,Cilostazol,C0055729
C0960580,Cilostazol,C0055729
C0535996,Cilostazol,C0055729
C3714750,Cilostazol,C0055729
C0533212,Cilostazol,C0055729
C0207509,Orphenadrine,C0029309
C1620185,Orphenadrine,C0029309
C0057223,Orphenadrine,C0029309
C3887685,Orphenadrine,C0029309
C1142644,Orphenadrine,C0029309
C3714798,Orphenadrine,C0029309
C0010763,Orphenadrine,C0029309
C3887686,Orphenadrine,C0029309
C0534137,Orphenadrine,C0029309
C1828468,Orphenadrine,C0029309
C0207509,Phenobarbital,C0031412
C0207509,Phenobarbital,C0366175
C0207509,Phenobarbital,C0524238
C0207509,Phenobarbital,C0798048
C1620185,Phenobarbital,C0031412
C1620185,Phenobarbital,C0366175
C1620185,Phenobarbital,C0524238
C1620185,Phenobarbital,C0798048
C0608437,Phenobarbital,C0031412
C0608437,Phenobarbital,C0366175
C0608437,Phenobarbital,C0524238
C0608437,Phenobarbital,C0798048
C1142644,Phenobarbital,C0031412
C1142644,Phenobarbital,C0366175
C1142644,Phenobarbital,C0524238
C1142644,Phenobarbital,C0798048
C3714798,Phenobarbital,C0031412
C3714798,Phenobarbital,C0366175
C3714798,Phenobarbital,C0524238
C3714798,Phenobarbital,C0798048
C0010763,Phenobarbital,C0031412
C0010763,Phenobarbital,C0366175
C0010763,Phenobarbital,C0524238
C0010763,Phenobarbital,C0798048
C3887686,Phenobarbital,C0031412
C3887686,Phenobarbital,C0366175
C3887686,Phenobarbital,C0524238
C3887686,Phenobarbital,C0798048
C0960580,Phenobarbital,C0031412
C0960580,Phenobarbital,C0366175
C0960580,Phenobarbital,C0524238
C0960580,Phenobarbital,C0798048
C0535996,Phenobarbital,C0031412
C0535996,Phenobarbital,C0366175
C0535996,Phenobarbital,C0524238
C0535996,Phenobarbital,C0798048
C3714750,Phenobarbital,C0031412
C3714750,Phenobarbital,C0366175
C3714750,Phenobarbital,C0524238
C3714750,Phenobarbital,C0798048
C0059735,Phenobarbital,C0031412
C0059735,Phenobarbital,C0366175
C0059735,Phenobarbital,C0524238
C0059735,Phenobarbital,C0798048
C3252639,Phenobarbital,C0031412
C3252639,Phenobarbital,C0366175
C3252639,Phenobarbital,C0524238
C3252639,Phenobarbital,C0798048
C0897385,Phenobarbital,C0031412
C0897385,Phenobarbital,C0366175
C0897385,Phenobarbital,C0524238
C0897385,Phenobarbital,C0798048
C3884187,Phenobarbital,C0031412
C3884187,Phenobarbital,C0366175
C3884187,Phenobarbital,C0524238
C3884187,Phenobarbital,C0798048
C0534137,Phenobarbital,C0031412
C0534137,Phenobarbital,C0366175
C0534137,Phenobarbital,C0524238
C0534137,Phenobarbital,C0798048
C1828468,Phenobarbital,C0031412
C1828468,Phenobarbital,C0366175
C1828468,Phenobarbital,C0524238
C1828468,Phenobarbital,C0798048
C0533212,Phenobarbital,C0031412
C0533212,Phenobarbital,C0366175
C0533212,Phenobarbital,C0524238
C0533212,Phenobarbital,C0798048
C0218171,Phenobarbital,C0031412
C0218171,Phenobarbital,C0366175
C0218171,Phenobarbital,C0524238
C0218171,Phenobarbital,C0798048
C0207509,Propafenone,C0033429
C1620185,Propafenone,C0033429
C0057223,Propafenone,C0033429
C3887685,Propafenone,C0033429
C1142644,Propafenone,C0033429
C3714798,Propafenone,C0033429
C0207509,Domperidone,C0013015
C1620185,Domperidone,C0013015
C0057223,Domperidone,C0013015
C3887685,Domperidone,C0013015
C1142644,Domperidone,C0013015
C3714798,Domperidone,C0013015
C0535996,Domperidone,C0013015
C3714750,Domperidone,C0013015
C0897385,Domperidone,C0013015
C0534137,Domperidone,C0013015
C1828468,Domperidone,C0013015
C0533212,Domperidone,C0013015
C0207509,Dexfenfluramine,C0011786
C1620185,Dexfenfluramine,C0011786
C0057223,Dexfenfluramine,C0011786
C3887685,Dexfenfluramine,C0011786
C0010763,Dexfenfluramine,C0011786
C3887686,Dexfenfluramine,C0011786
C0207509,Flecainide,C0016229
C0207509,Flecainide,C5401398
C1620185,Flecainide,C0016229
C1620185,Flecainide,C5401398
C0057223,Flecainide,C0016229
C0057223,Flecainide,C5401398
C3887685,Flecainide,C0016229
C3887685,Flecainide,C5401398
C0608437,Flecainide,C0016229
C0608437,Flecainide,C5401398
C0207509,Sparfloxacin,C0052585
C0207509,Sparfloxacin,C0881011
C1620185,Sparfloxacin,C0052585
C1620185,Sparfloxacin,C0881011
C0207509,Anastrozole,C0290883
C1620185,Anastrozole,C0290883
C0608437,Anastrozole,C0290883
C1142644,Anastrozole,C0290883
C3714798,Anastrozole,C0290883
C0535996,Anastrozole,C0290883
C3714750,Anastrozole,C0290883
C0897385,Anastrozole,C0290883
C0207509,Aminophylline,C0002575
C1620185,Aminophylline,C0002575
C1142644,Aminophylline,C0002575
C3714798,Aminophylline,C0002575
C0010763,Aminophylline,C0002575
C3887686,Aminophylline,C0002575
C0207509,Metoclopramide,C0025853
C1620185,Metoclopramide,C0025853
C0057223,Metoclopramide,C0025853
C3887685,Metoclopramide,C0025853
C1142644,Metoclopramide,C0025853
C3714798,Metoclopramide,C0025853
C0207509,Gemfibrozil,C0017245
C1620185,Gemfibrozil,C0017245
C0608437,Gemfibrozil,C0017245
C1142644,Gemfibrozil,C0017245
C3714798,Gemfibrozil,C0017245
C0960580,Gemfibrozil,C0017245
C0897385,Gemfibrozil,C0017245
C0207509,Clomipramine,C0009010
C1620185,Clomipramine,C0009010
C0057223,Clomipramine,C0009010
C3887685,Clomipramine,C0009010
C1142644,Clomipramine,C0009010
C3714798,Clomipramine,C0009010
C0960580,Clomipramine,C0009010
C0207509,Dasatinib,C1455147
C1620185,Dasatinib,C1455147
C1142644,Dasatinib,C1455147
C3714798,Dasatinib,C1455147
C0535996,Dasatinib,C1455147
C3714750,Dasatinib,C1455147
C1450093,Dasatinib,C1455147
C0059735,Dasatinib,C1455147
C3252639,Dasatinib,C1455147
C1414645,Dasatinib,C1455147
C0207509,Lumiracoxib,C1176415
C1620185,Lumiracoxib,C1176415
C0608437,Lumiracoxib,C1176415
C0960580,Lumiracoxib,C1176415
C0207509,Oxtriphylline,C0055578
C1620185,Oxtriphylline,C0055578
C0207509,Insulin aspart,C0123677
C0207509,Insulin aspart,C1708521
C1620185,Insulin aspart,C0123677
C1620185,Insulin aspart,C1708521
C0207509,Insulin detemir,C0537270
C1620185,Insulin detemir,C0537270
C0021669,Insulin detemir,C0537270
C0207509,Insulin glulisine,C1313386
C1620185,Insulin glulisine,C1313386
C0207509,Fosphenytoin,C0244656
C1620185,Fosphenytoin,C0244656
C0608437,Fosphenytoin,C0244656
C1142644,Fosphenytoin,C0244656
C3714798,Fosphenytoin,C0244656
C0960580,Fosphenytoin,C0244656
C0534137,Fosphenytoin,C0244656
C1828468,Fosphenytoin,C0244656
C0207509,Rasagiline,C0525678
C1620185,Rasagiline,C0525678
C0207509,Ginkgo biloba,C0330206
C0207509,Ginkgo biloba,C0772125
C0207509,Ginkgo biloba,C3531686
C1620185,Ginkgo biloba,C0330206
C1620185,Ginkgo biloba,C0772125
C1620185,Ginkgo biloba,C3531686
C0608437,Ginkgo biloba,C0330206
C0608437,Ginkgo biloba,C0772125
C0608437,Ginkgo biloba,C3531686
C1142644,Ginkgo biloba,C0330206
C1142644,Ginkgo biloba,C0772125
C1142644,Ginkgo biloba,C3531686
C3714798,Ginkgo biloba,C0330206
C3714798,Ginkgo biloba,C0772125
C3714798,Ginkgo biloba,C3531686
C1450093,Ginkgo biloba,C0330206
C1450093,Ginkgo biloba,C0772125
C1450093,Ginkgo biloba,C3531686
C0059735,Ginkgo biloba,C0330206
C0059735,Ginkgo biloba,C0772125
C0059735,Ginkgo biloba,C3531686
C3252639,Ginkgo biloba,C0330206
C3252639,Ginkgo biloba,C0772125
C3252639,Ginkgo biloba,C3531686
C0207509,Mibefradil,C0286185
C1620185,Mibefradil,C0286185
C0057223,Mibefradil,C0286185
C3887685,Mibefradil,C0286185
C1142644,Mibefradil,C0286185
C3714798,Mibefradil,C0286185
C0026237,Mibefradil,C0286185
C0887941,Mibefradil,C0286185
C0535996,Mibefradil,C0286185
C3714750,Mibefradil,C0286185
C0533212,Mibefradil,C0286185
C0038296,Mibefradil,C0286185
C0075233,Mibefradil,C0286185
C1527416,Mibefradil,C0286185
C0207509,Temafloxacin,C0076075
C0207509,Temafloxacin,C0801983
C1620185,Temafloxacin,C0076075
C1620185,Temafloxacin,C0801983
C0207509,Theobromine,C0039763
C1620185,Theobromine,C0039763
C0010763,Theobromine,C0039763
C3887686,Theobromine,C0039763
C0207509,Acenocoumarol,C0000956
C1620185,Acenocoumarol,C0000956
C0608437,Acenocoumarol,C0000956
C1142644,Acenocoumarol,C0000956
C3714798,Acenocoumarol,C0000956
C0960580,Acenocoumarol,C0000956
C0207509,Aminophenazone,C0002586
C1620185,Aminophenazone,C0002586
C0057223,Aminophenazone,C0002586
C3887685,Aminophenazone,C0002586
C0608437,Aminophenazone,C0002586
C1142644,Aminophenazone,C0002586
C3714798,Aminophenazone,C0002586
C0960580,Aminophenazone,C0002586
C0897385,Aminophenazone,C0002586
C0218171,Aminophenazone,C0002586
C0207509,Antipyrine,C0003420
C1620185,Antipyrine,C0003420
C0057223,Antipyrine,C0003420
C3887685,Antipyrine,C0003420
C0608437,Antipyrine,C0003420
C1142644,Antipyrine,C0003420
C3714798,Antipyrine,C0003420
C0010763,Antipyrine,C0003420
C3887686,Antipyrine,C0003420
C0960580,Antipyrine,C0003420
C0897385,Antipyrine,C0003420
C3884187,Antipyrine,C0003420
C0534137,Antipyrine,C0003420
C1828468,Antipyrine,C0003420
C0218171,Antipyrine,C0003420
C0207509,Fenethylline,C0060167
C1620185,Fenethylline,C0060167
C0207509,Bromazepam,C0006213
C0207509,Bromazepam,C0365635
C1620185,Bromazepam,C0006213
C1620185,Bromazepam,C0365635
C0010763,Bromazepam,C0006213
C0010763,Bromazepam,C0365635
C3887686,Bromazepam,C0006213
C3887686,Bromazepam,C0365635
C0960580,Bromazepam,C0006213
C0960580,Bromazepam,C0365635
C0207509,Lopinavir,C0674432
C0207509,Lopinavir,C1146864
C1620185,Lopinavir,C0674432
C1620185,Lopinavir,C1146864
C0057223,Lopinavir,C0674432
C0057223,Lopinavir,C1146864
C3887685,Lopinavir,C0674432
C3887685,Lopinavir,C1146864
C0608437,Lopinavir,C0674432
C0608437,Lopinavir,C1146864
C1142644,Lopinavir,C0674432
C1142644,Lopinavir,C1146864
C3714798,Lopinavir,C0674432
C3714798,Lopinavir,C1146864
C0960580,Lopinavir,C0674432
C0960580,Lopinavir,C1146864
C0534137,Lopinavir,C0674432
C0534137,Lopinavir,C1146864
C1828468,Lopinavir,C0674432
C1828468,Lopinavir,C1146864
C0207509,Deferasirox,C1619629
C1620185,Deferasirox,C1619629
C1142644,Deferasirox,C1619629
C3714798,Deferasirox,C1619629
C0897385,Deferasirox,C1619629
C0207509,Thiothixene,C0039955
C1620185,Thiothixene,C0039955
C0057223,Thiothixene,C0039955
C3887685,Thiothixene,C0039955
C0207509,Etoricoxib,C0972314
C1620185,Etoricoxib,C0972314
C0057223,Etoricoxib,C0972314
C3887685,Etoricoxib,C0972314
C0608437,Etoricoxib,C0972314
C1142644,Etoricoxib,C0972314
C3714798,Etoricoxib,C0972314
C0010763,Etoricoxib,C0972314
C3887686,Etoricoxib,C0972314
C0960580,Etoricoxib,C0972314
C0207509,Genistein,C0061202
C1620185,Genistein,C0061202
C0608437,Genistein,C0061202
C1142644,Genistein,C0061202
C3714798,Genistein,C0061202
C0059735,Genistein,C0061202
C3252639,Genistein,C0061202
C0897385,Genistein,C0061202
C0207509,Roflumilast,C0965618
C1620185,Roflumilast,C0965618
C1142644,Roflumilast,C0965618
C3714798,Roflumilast,C0965618
C0207509,8-azaguanine,C0004476
C1620185,8-azaguanine,C0004476
C0207509,Xanthine,C0043314
C0207509,Xanthine,C0043318
C1620185,Xanthine,C0043314
C1620185,Xanthine,C0043318
C0207509,Resveratrol,C0073096
C1620185,Resveratrol,C0073096
C0057223,Resveratrol,C0073096
C3887685,Resveratrol,C0073096
C0608437,Resveratrol,C0073096
C1142644,Resveratrol,C0073096
C3714798,Resveratrol,C0073096
C0960580,Resveratrol,C0073096
C1450093,Resveratrol,C0073096
C0059735,Resveratrol,C0073096
C3252639,Resveratrol,C0073096
C0534137,Resveratrol,C0073096
C1828468,Resveratrol,C0073096
C0207509,Phenacetin,C0031364
C1620185,Phenacetin,C0031364
C0057223,Phenacetin,C0031364
C3887685,Phenacetin,C0031364
C0608437,Phenacetin,C0031364
C1142644,Phenacetin,C0031364
C3714798,Phenacetin,C0031364
C0010763,Phenacetin,C0031364
C3887686,Phenacetin,C0031364
C0960580,Phenacetin,C0031364
C0059735,Phenacetin,C0031364
C3252639,Phenacetin,C0031364
C3884187,Phenacetin,C0031364
C0961212,Phenacetin,C0031364
C0207509,Hypoxanthine,C0020684
C0207509,Hypoxanthine,C0020691
C1620185,Hypoxanthine,C0020684
C1620185,Hypoxanthine,C0020691
C0207509,Quercetin,C0034392
C1620185,Quercetin,C0034392
C0057223,Quercetin,C0034392
C3887685,Quercetin,C0034392
C0608437,Quercetin,C0034392
C0010763,Quercetin,C0034392
C3887686,Quercetin,C0034392
C0960580,Quercetin,C0034392
C0897385,Quercetin,C0034392
C0207509,Estrone sulfate,C0059668
C1620185,Estrone sulfate,C0059668
C0608437,Estrone sulfate,C0059668
C1142644,Estrone sulfate,C0059668
C3714798,Estrone sulfate,C0059668
C0207509,Flunarizine,C0016295
C1620185,Flunarizine,C0016295
C0057223,Flunarizine,C0016295
C3887685,Flunarizine,C0016295
C0608437,Flunarizine,C0016295
C1142644,Flunarizine,C0016295
C3714798,Flunarizine,C0016295
C0059735,Flunarizine,C0016295
C3252639,Flunarizine,C0016295
C3884187,Flunarizine,C0016295
C0207509,Febuxostat,C0249529
C1620185,Febuxostat,C0249529
C0608437,Febuxostat,C0249529
C0897385,Febuxostat,C0249529
C0207509,Lorcaserin,C2350948
C1620185,Lorcaserin,C2350948
C0057223,Lorcaserin,C2350948
C3887685,Lorcaserin,C2350948
C1142644,Lorcaserin,C2350948
C3714798,Lorcaserin,C2350948
C0960580,Lorcaserin,C2350948
C0059735,Lorcaserin,C2350948
C3252639,Lorcaserin,C2350948
C3884187,Lorcaserin,C2350948
C0534137,Lorcaserin,C2350948
C1828468,Lorcaserin,C2350948
C0207509,Bicifadine,C0053551
C1620185,Bicifadine,C0053551
C0057223,Bicifadine,C0053551
C3887685,Bicifadine,C0053551
C0207509,Lofexidine,C0065152
C1620185,Lofexidine,C0065152
C0057223,Lofexidine,C0065152
C3887685,Lofexidine,C0065152
C0960580,Lofexidine,C0065152
C0207509,Pirfenidone,C0298067
C1620185,Pirfenidone,C0298067
C0057223,Pirfenidone,C0298067
C3887685,Pirfenidone,C0298067
C0608437,Pirfenidone,C0298067
C1142644,Pirfenidone,C0298067
C3714798,Pirfenidone,C0298067
C0010763,Pirfenidone,C0298067
C3887686,Pirfenidone,C0298067
C0960580,Pirfenidone,C0298067
C0207509,Belinostat,C1948068
C1620185,Belinostat,C1948068
C0608437,Belinostat,C1948068
C1142644,Belinostat,C1948068
C3714798,Belinostat,C1948068
C0897385,Belinostat,C1948068
C0207509,NN344,C1957876
C1620185,NN344,C1957876
C0207509,Interferon alfa,C0002199
C0207509,Interferon alfa,C2825023
C1620185,Interferon alfa,C0002199
C1620185,Interferon alfa,C2825023
C0207509,Albinterferon Alfa-2B,C2603873
C1620185,Albinterferon Alfa-2B,C2603873
C0207509,Technetium Tc-99m ciprofloxacin,C0968226
C1620185,Technetium Tc-99m ciprofloxacin,C0968226
C0207509,Levoketoconazole,C4550366
C1620185,Levoketoconazole,C4550366
C1142644,Levoketoconazole,C4550366
C3714798,Levoketoconazole,C4550366
